PDF Question,Year,Grade,Decomposition,Pattern Recognition,Abstraction,Modelling & Simulation,Algorithms,Description Text,Question Text,Answer Text,Description Image,Question Image,Answer Image,Correct Answer,A,B,C,D,Notes
Three Friends,5/6,B,X,,X,X,X,Three friends want to meet. The map below shows where they are at the moment. Bob is with his bike; Alice is on her skateboard and Jenny is with her scooter. They want to meet at either the square; triangle; circle or diamond. Distances are measured by: Adding up the distance travelled horizontally and vertically along the gridlines. Example: The distance from Alice (on her skateboard) to the blue triangle is 6.,Which meeting place should they choose so that the total distance the three friends must travel is the shortest possible?,The total distance from their homes to the red square is: 4 + 3 + 8 = 15. The total distance from their homes to the blue triangle is: 4 + 3 + 6 = 13. The total distance from their homes to the green circle is: 3 + 4 + 5 = 12. The total distance from their homes to the yellow diamond is: 4 + 5 + 4 = 13.,,Question_Image_16,,Circle,Square,Triangle,Circle,Diamond,
Three Friends,7/8,A,X,,X,X,X,Three friends want to meet. The map below shows where they are at the moment. Bob is with his bike; Alice is on her skateboard and Jenny is with her scooter. They want to meet at either the square; triangle; circle or diamond. Distances are measured by: Adding up the distance travelled horizontally and vertically along the gridlines. Example: The distance from Alice (on her skateboard) to the blue triangle is 6.,Which meeting place should they choose so that the total distance the three friends must travel is the shortest possible?,The total distance from their homes to the red square is: 4 + 3 + 8 = 15. The total distance from their homes to the blue triangle is: 4 + 3 + 6 = 13. The total distance from their homes to the green circle is: 3 + 4 + 5 = 12. The total distance from their homes to the yellow diamond is: 4 + 5 + 4 = 13.,,,,Circle,Square,Triangle,Circle,Diamond,
Flowers,3/4,C,X,X,X,,X,A flower shop sells the following types of flowers. The flowers come in white; yellow or blue. Clara wants a bunch of six flowers. She tells the florist: There must be two of each of the colours yellow; white and blue; flowers of the same type must not have the same colour; there should be no more than two of each type of flower.,Which of the following bunches will Clara be happy with?,,Description_Image_19,,Question_Image_19.4,Question_Image_19.4,Question_Image_19.1,Question_Image_19.2,Question_Image_19.3,Question_Image_19.4,
Flowers,5/6,B,X,X,X,,X,A flower shop sells the following types of flowers. The flowers come in white; yellow or blue. Clara wants a bunch of six flowers. She tells the florist: There must be two of each of the colours yellow; white and blue; flowers of the same type must not have the same colour; there should be no more than two of each type of flower.,Which of the following bunches will Clara be happy with?,,Description_Image_19,,Question_Image_19.4,Question_Image_19.4,Question_Image_19.1,Question_Image_19.2,Question_Image_19.3,Question_Image_19.4,
Colouring in,3/4,C,X,X,X,X,X,The pattern below needs colouring in! There are two rules: 1. Use as few colours as possible 2. No two areas that share an edge can be the same colour. You can try colouring in the pattern yourself. To do this drag any of the 6 colours provided on to the pattern.,What is the minimum number of colours required?,The task can be completed with only 3 colours.,Description_Image_21,,,3,2,3,4,5,
Colouring in,5/6,C,X,X,X,X,X,The pattern below needs colouring in! There are two rules: 1. Use as few colours as possible 2. No two areas that share an edge can be the same colour. You can try colouring in the pattern yourself. To do this drag any of the 6 colours provided on to the pattern.,What is the minimum number of colours required?,The task can be completed with only 3 colours.,Description_Image_21,,,3,2,3,4,5,
Colouring in,7/8,A,X,X,X,X,X,The pattern below needs colouring in! There are two rules: 1. Use as few colours as possible 2. No two areas that share an edge can be the same colour. You can try colouring in the pattern yourself. To do this drag any of the 6 colours provided on to the pattern.,What is the minimum number of colours required?,The task can be completed with only 3 colours.,Description_Image_21,,,3,2,3,4,5,
Ring toss,5/6,B,X,,X,,X,Sarah is playing the game Ring Toss. For each round she has 5 rings to try to throw around a peg. Every ring that successfully lands around the peg scores points; but not every throw is worth the same number of points. Any ring that misses the peg scores 0 points.,Sarah threw her five rings as shown. How many points did she get?,Sarah got 6 points.,Description_Image_24,Question_Image_24,Answer_Image_24,6,3,5,6,8,
Park walk,7/8,B,X,,X,X,X,Below is the map of a park. The green circles with letters represent the trees and the brown lines are paths. Note that some letters are used to label more than one tree. Walking from tree F to tree B can be described as F D E C A B. Last Sunday two families walked in the park. The Wilde family’s walk was B A A A C E D E E D A. The Gilde family’s walk was F D C D A E A D E D A. Both families started their walks at the same time. Walking from one tree to another tree; down one path takes the same amount of time.,How many times did the two families meet at a tree?,They never met at any trees.,Description_Image_25,,,They never met at any of the trees,Once,Twice,Three times,They never met at any of the trees,
Park walk,9/10,A,X,,X,X,X,Below is the map of a park. The green circles with letters represent the trees and the brown lines are paths. Note that some letters are used to label more than one tree. Walking from tree F to tree B can be described as F D E C A B. Last Sunday two families walked in the park. The Wilde family’s walk was B A A A C E D E E D A. The Gilde family’s walk was F D C D A E A D E D A. Both families started their walks at the same time. Walking from one tree to another tree; down one path takes the same amount of time.,How many times did the two families meet at a tree?,They never met at any trees.,Description_Image_25,,,They never met at any of the trees,Once,Twice,Three times,They never met at any of the trees,
Mutation of an alien,7/8,C,X,,X,X,X,An alien has a head; a body; two arms; and two legs. The alien can be transformed through the following mutation commands: (It is possible that the shape of a part is mutated more than once.),What will the alien look like after receiving the following commands: H(T); L(+); B(T); A(+); H(C); A(-); B(C),For each part of the alien; the last mutation command will overwrite the result of the previous one. Therefore; the final result is a head with circle shape; a body with a circle shape; short arms; and long legs.,Description_Image_27,,Question_Image_27.3,Question_Image_27.3,Question_Image_27.1,Question_Image_27.2,Question_Image_27.3,Question_Image_27.4,
Mutation of an alien,9/10,B,X,,X,X,X,An alien has a head; a body; two arms; and two legs. The alien can be transformed through the following mutation commands: (It is possible that the shape of a part is mutated more than once.),What will the alien look like after receiving the following commands: H(T); L(+); B(T); A(+); H(C); A(-); B(C),For each part of the alien; the last mutation command will overwrite the result of the previous one. Therefore; the final result is a head with circle shape; a body with a circle shape; short arms; and long legs.,Description_Image_27,,Question_Image_27.3,Question_Image_27.3,Question_Image_27.1,Question_Image_27.2,Question_Image_27.3,Question_Image_27.4,
Mutation of an alien,11/12,A,X,,X,X,X,An alien has a head; a body; two arms; and two legs. The alien can be transformed through the following mutation commands: (It is possible that the shape of a part is mutated more than once.),What will the alien look like after receiving the following commands: H(T); L(+); B(T); A(+); H(C); A(-); B(C),For each part of the alien; the last mutation command will overwrite the result of the previous one. Therefore; the final result is a head with circle shape; a body with a circle shape; short arms; and long legs.,Description_Image_27,,Question_Image_27.3,Question_Image_27.3,Question_Image_27.1,Question_Image_27.2,Question_Image_27.3,Question_Image_27.4,
Toll roads,7/8,C,X,,X,X,X,Bob decided to drive from Hamper to Mug. In the map below; circles with letters are cities and lines are two-way roads. Roads also have roundabouts where they intersect. The number beside a road is the toll that cars must pay every time they enter the road. Cars can change their route at roundabouts but they need to pay the full toll for the road they enter. For example; to drive from city B to city C you can take road 18 and road 6 thus the toll fee is 24.,What is the minimum toll fee Bob should pay to drive from Hamper to Mug?,The cheapest road is shown adjacent. To prove that this path is optimal we may compare the options in the following way: The presented path has the toll 41; let’s try to find a cheaper path. At first; it is obvious that the path contains a road A–Hamper with toll 13; so one should find a path from A to Mug that is cheaper than 41 - 13 = 28. Secondly; it is obvious that we should come to Mug not by the road B–Mug; because it is already 23; and it is impossible to find a path from B To A that is cheaper than 28 - 23 = 5. So; we come to Mug by the road D–Mug with the toll 6; and thus we should find a path from A to D that is cheaper than 28 - 6 =22. The path from A to D should not have more than three roads; because the cheapest road has the toll 6; and thus 4 roads will give a toll at least 6 * 4 = 24. The first road we may look at to go out of A is A–B. It leads to much more expensive solutions; because we will use very expensive roads with a toll of either 23 or 18. The same arguments apply for the road A–F; because this road is very expensive. If we use the road A–G; then we will use at least 7 + 9 + 7 = 23 which is greater than 22. And finally; if we go by the road A–C; we can achieve the optimal toll.,Description_Image_30,,Answer_Image_30,41,36,41,42,50,
Toll roads,9/10,B,X,,X,X,X,Bob decided to drive from Hamper to Mug. In the map below; circles with letters are cities and lines are two-way roads. Roads also have roundabouts where they intersect. The number beside a road is the toll that cars must pay every time they enter the road. Cars can change their route at roundabouts but they need to pay the full toll for the road they enter. For example; to drive from city B to city C you can take road 18 and road 6 thus the toll fee is 24.,What is the minimum toll fee Bob should pay to drive from Hamper to Mug?,The cheapest road is shown adjacent. To prove that this path is optimal we may compare the options in the following way: The presented path has the toll 41; let’s try to find a cheaper path. At first; it is obvious that the path contains a road A–Hamper with toll 13; so one should find a path from A to Mug that is cheaper than 41 - 13 = 28. Secondly; it is obvious that we should come to Mug not by the road B–Mug; because it is already 23; and it is impossible to find a path from B To A that is cheaper than 28 - 23 = 5. So; we come to Mug by the road D–Mug with the toll 6; and thus we should find a path from A to D that is cheaper than 28 - 6 =22. The path from A to D should not have more than three roads; because the cheapest road has the toll 6; and thus 4 roads will give a toll at least 6 * 4 = 24. The first road we may look at to go out of A is A–B. It leads to much more expensive solutions; because we will use very expensive roads with a toll of either 23 or 18. The same arguments apply for the road A–F; because this road is very expensive. If we use the road A–G; then we will use at least 7 + 9 + 7 = 23 which is greater than 22. And finally; if we go by the road A–C; we can achieve the optimal toll.,Description_Image_30,,Answer_Image_30,41,36,41,42,50,
Toll roads,11/12,A,X,,X,X,X,Bob decided to drive from Hamper to Mug. In the map below; circles with letters are cities and lines are two-way roads. Roads also have roundabouts where they intersect. The number beside a road is the toll that cars must pay every time they enter the road. Cars can change their route at roundabouts but they need to pay the full toll for the road they enter. For example; to drive from city B to city C you can take road 18 and road 6 thus the toll fee is 24.,What is the minimum toll fee Bob should pay to drive from Hamper to Mug?,The cheapest road is shown adjacent. To prove that this path is optimal we may compare the options in the following way: The presented path has the toll 41; let’s try to find a cheaper path. At first; it is obvious that the path contains a road A–Hamper with toll 13; so one should find a path from A to Mug that is cheaper than 41 - 13 = 28. Secondly; it is obvious that we should come to Mug not by the road B–Mug; because it is already 23; and it is impossible to find a path from B To A that is cheaper than 28 - 23 = 5. So; we come to Mug by the road D–Mug with the toll 6; and thus we should find a path from A to D that is cheaper than 28 - 6 =22. The path from A to D should not have more than three roads; because the cheapest road has the toll 6; and thus 4 roads will give a toll at least 6 * 4 = 24. The first road we may look at to go out of A is A–B. It leads to much more expensive solutions; because we will use very expensive roads with a toll of either 23 or 18. The same arguments apply for the road A–F; because this road is very expensive. If we use the road A–G; then we will use at least 7 + 9 + 7 = 23 which is greater than 22. And finally; if we go by the road A–C; we can achieve the optimal toll.,Description_Image_30,,Answer_Image_30,41,36,41,42,50,
Medical lab,7/8,C,X,,X,,X,A diagnostic device in a medical lab must repeatedly shake specimens taken from patients. The device works according to a computer program; which is written on numbered lines. The device reads the program line by line. It always reads one line and then executes it immediately. If the line contains the command go to X; the device jumps to the line X and continues reading and executing. The program is able to store a number A; to add 1 to the number stored in A; and compare its value with another number.,How many times will the device shake the specimens when this program is run?,The program always jumps from line 3 to 6 and from line 7 to 2. Except at the beginning; the program visits only lines No. 2; 3; 6; 7. The instruction to shake the specimen is on line No. 8; which is never visited. This means the device will never shake anything according to the program. Moreover; the instruction on line No. 9 is never executed; so the program continues forever.,Description_Image_33,,,The specimens will never be shaken.,The specimens will never be shaken.,The specimens will be shaken once.,The specimens will be shaken 60 times.,The program will not stop the specimens being shaken.,
Medical lab,11/12,B,X,,X,,X,A diagnostic device in a medical lab must repeatedly shake specimens taken from patients. The device works according to a computer program; which is written on numbered lines. The device reads the program line by line. It always reads one line and then executes it immediately. If the line contains the command go to X; the device jumps to the line X and continues reading and executing. The program is able to store a number A; to add 1 to the number stored in A; and compare its value with another number.,How many times will the device shake the specimens when this program is run?,The program always jumps from line 3 to 6 and from line 7 to 2. Except at the beginning; the program visits only lines No. 2; 3; 6; 7. The instruction to shake the specimen is on line No. 8; which is never visited. This means the device will never shake anything according to the program. Moreover; the instruction on line No. 9 is never executed; so the program continues forever.,Description_Image_33,,,The specimens will never be shaken.,The specimens will never be shaken.,The specimens will be shaken once.,The specimens will be shaken 60 times.,The program will not stop the specimens being shaken.,
Infinite ice cream,9/10,A,X,X,X,,X,There are two ice-cream sellers. They use the same four flavours. The first seller uses the following instructions to make ice-cream: <br> 1. Start with an empty cone. <br>2. Pick a flavour at random; and add two scoops of that flavour. <br> 3. Add one scoop of any different flavour. <br> 4. If the requested height is reached; stop; otherwise go to Step 2. <br>The second ice-cream seller does not follow any instructions.,You can only see the first few scoops of the ice-cream cones below. Which one is certainly from the second seller?,The only cone that clearly does not follow the instructions is:,Description_Image_34,,Question_Image_34.4,Question_Image_34.4,Question_Image_34.1,Question_Image_34.2,Question_Image_34.3,Question_Image_34.4,
Rows and columns,9/10,C,X,,X,X,X,Below on the left you see a picture of a game board with 4 pieces placed on it. The diagram to the right of the board represents the positions of the pieces. It is drawn in the following way: <br> • For each piece onthe board; draw a circle. <br>• If two pieces are in the same row on the board or in the same column on the board; then draw a line between their circles in the diagram. (Do not draw any other lines in the diagram.) <br>Letters have been placed on the pieces and the circles so you can easily check that the diagram is correct.<br>A new board with six pieces is shown below. A new position diagram for this board is drawn in the same way.,,,Description_Image_35,Question_Image_35.0,Question_Image_35.1,Question_Image_35.1,Question_Image_35.1,Question_Image_35.2,Question_Image_35.3,Question_Image_35.4,
Rows and columns,11/12,B,X,,X,X,X,Below on the left you see a picture of a game board with 4 pieces placed on it. The diagram to the right of the board represents the positions of the pieces. It is drawn in the following way: <br> • For each piece on the board; draw a circle. <br>• If two pieces are in the same row on the board or in the same column on the board; then draw a line between their circles in the diagram. (Do not draw any other lines in the diagram. <br>Letters have been placed on the pieces and the circles so you can easily check that the diagram is correct.<br>A new board with six pieces is shown below. A new position diagram for this board is drawn in the same way.,,,Description_Image_36,Question_Image_36.0,Question_Image_36.1,Question_Image_36.1,Question_Image_36.1,Question_Image_36.2,Question_Image_36.3,Question_Image_36.4,
Box jump,11/12,A,X,,,,X,There are 8 boxes on a board. The positions of the boxes are labelled from 1 to 8. One of three types of movement rule is placed in each box. An example of each rule type is given below:,Consider the board below. Which box should you start in so that; by following the rules; every box is visited?,3,Description_Image_37,Question_Image_37,,3,2,3,5,It is not possible to visit every box,
Treasure maps,11/12,B,X,,X,,X,Pirate Beaver has a very large treasure map which is cut into smaller pieces. Each map piece shows a region of 8 units wide and 8 units long (Fig. 1). However; Pirate beaver has a very small boat and cannot take all the map pieces with him. Smart as she is; Pirate beaver finds a way to document each region (map piece) into a small chart in her note book. Here is how:<br>1. If all units in the region are in the same colour; she marks a “square” on her notebook with the same colour.<br>2. Or else; she marks a “circle” (shown as Chart 1) and then divides the region into 4 subregions (shown as Fig. 2) according to its central point.<br>3. Repeat step 1 and 2 until all units are recorded (shown as Chart 4).,Below is another chart in Pirate Beaver's notebook. Which of the following map pieces does it represent?,The correct answer is:,Description_Image_38,Question_Image_38.0,Question_Image_39.2,Question_Image_38.2,Question_Image_38.1,Question_Image_38.2,Question_Image_38.3,Question_Image_38.4,
Longest word chain,11/12,C,X,,X,X,X,Beavers often play a word chain game. Game Rules: Place 9 word cards face up in front of both players. Player one starts by saying one of the words. Player two says another word which begins with the last letter of the previous word. Player one says another word which begins with the last letter of the previous word and which has not been used yet. Play continues in this way until there is no new word available. Below is a set of 9 cards. Arrows have been added to help with this question:,What is the largest possible number of words that can be said in one game?,The beavers can use at most 8 words in one game.,Description_Image_39,,,8,6,7,8,10,
Buried treasure,11/12,C,X,,X,X,X,There are 5 Forest Imps living in a wood. Each imp wants to bury its treasure somewhere in the wood. Forest Imps only bury their treasure under trees. They all have a map with the wood divided into squares. Each square contains a tree or a rock. Forest Imps can see in all directions as shown on the right and can see through trees! Forest Imps cannot see through rocks. The forest map is shown below.,In how many ways can the 5 Forest Imps bury their treasure in the wood without seeing each other?,4,Description_Image_40,,,4,1,2,3,4,
How many routes,3/4,A,X,,X,,X,Beaver Jane regularly walks to school. Jane likes to change her route each day. She only walks on paths that take her nearer to the school.,How many different routes can Jane take to school?,,Description_Image_41,,Answer_Image_41,3,2,3,4,6,
Bird house,3/4,A,X,X,X,,X,A beaver wants to buy a bird house for her daughter’s birthday. Her daughter says: 'I would like a bird house with 2 windows and a heart'.,Which bird house should her Mum buy?,The answer is bird house 3. House 1 is not correct because it has only one window and 2 hearts. House 2 is not correct because it has 2 windows; but no heart. House 4 is not correct because it has only one window.,Description_Image_42,,,House 3,House 1,House 2,House 3,House 4,
Sudoku,3/4,A,X,,X,,X,Benjamin is asked to fill a box with different shapes. The box has 9 sections. <br>Rules: <br>There must be only one of the same shape in each row. <br>There must be only one of the same shape in each column.<br>Benjamin has four goes!,Which of the following boxes is correct?,The answer is C. <br>A is wrong because there is at least 1 column with two of the same shapes. <br>B is wrong because there is at least 1 row with two of the same shapes. <br>D is wrong because there is at least 1 row with two of the same shapes.,,,,Question_Image_43.3,Question_Image_43.1,Question_Image_43.2,Question_Image_43.3,Question_Image_43.4,
Worm,3/4,B,X,,X,X,X,A worm is sitting at the end of the branch on the tree shown below. It wants to eat all of the apples by moving through the tree's branches. <br>(The tree is made of 1m long branch sections.),What is the shortest distance; in metres; that the worm has to crawl to eat all of the apples?,The correct answer is 13. <br>The worm has to reach all apples. 4 and 9 are not the correct answers; because it is not possible to reach all apples passing 4 or 9 branch parts only. A path with length 13 allows the worm to reach all apples. First it has to reach the closest apple and then the remaining three apples. Notice; it does not matter in which order the worm will reach the remaining apples. The path with length 15 is too long.,Description_Image_44,,Answer_Image_44,13,4,9,13,15,
Worm,5/6,A,X,,X,X,X,A worm is sitting at the end of the branch on the tree shown below. It wants to eat all of the apples by moving through the tree's branches. <br>(The tree is made of 1m long branch sections.),What is the shortest distance; in metres; that the worm has to crawl to eat all of the apples?,The correct answer is 13. <br>The worm has to reach all apples. 4 and 9 are not the correct answers; because it is not possible to reach all apples passing 4 or 9 branch parts only. A path with length 13 allows the worm to reach all apples. First it has to reach the closest apple and then the remaining three apples. Notice; it does not matter in which order the worm will reach the remaining apples. The path with length 15 is too long.,Description_Image_44,,Answer_Image_44,13,4,9,13,15,
Colour paths,,A,X,,X,,X,John chooses a painting program on his computer to draw a picture of a park. The park has a blue pond and black paths around it. He wants to change the colour of the paths to brown. He chooses the fill tool on his painting program and the brown colour so that he can paint the black paths brown.,What is the smallest number of clicks he needs to make to paint all the paths brown?,The answer is 3. John had to click on the image 3 times because the fill tool only paints paths which are connected. <br>The image shows possible locations he clicked on when the fill tool and brown colour were selected. <br>There is no solution with less clicks because the pond divides the paths into three separate parts.,Description_Image_46,,Answer_Image_46,3,2,3,10,15,
Parking lot,3/4,B,X,,X,,X,There are 12 spaces for cars in a parking lot. Each space is labelled with a number. The pictures below show which spaces were used on Monday and which spaces were used on Tuesday.,How many parking spaces were empty both on Monday and Tuesday?,The answer is 4. Placing the pictures of the cars from both days together in the parking spaces; gives the image on the right. Then all we have to do is count the empty spaces.,Description_Image_47,,Answer_Image_47,4 spaces,3 spaces,4 spaces,5 spaces,6 spaces,
Parking lot,5/6,A,X,,X,,X,There are 12 spaces for cars in a parking lot. Each space is labelled with a number. The pictures below show which spaces were used on Monday and which spaces were used on Tuesday.,How many parking spaces were empty both on Monday and Tuesday?,The answer is 4. Placing the pictures of the cars from both days together in the parking spaces; gives the image on the right. Then all we have to do is count the empty spaces.,Description_Image_47,,Answer_Image_47,4,3,4,5,6,
Message service,3/4,C,X,,X,,X,Violet wants to send a message to Leo with the help of some beavers and some cards.<br>She breaks the message into groups of; at most; 3 letters on each card. She then gives one card to each beaver. <br>Violet knows that sometimes the beavers get distracted while transporting their cards; and they arrive at different times. Therefore; Violet also numbers the cards in the correct order before giving them to the beavers. Leo must then put then back in order to read the message.,What was the original message that Violet sent to Leo?,The original message was GETHOCKEYSTICKS. This problem is easily solved by putting the cards in the correct order:,Description_Image_49,,Answer_Image_49,GETHOCKEYSTICKS,GETSTICKYSHOCKS,STICKYGETHOOKS,GETHOCKEYSTICKS,KEYCKSHOCGETSTI,
